class,instances,instance_percent,documents,document_percent
Caption,595,1.5525,0,0.0
Footnote,746,1.9465,0,0.0
Form,280,0.7306,0,0.0
Key-Value Region,797,2.0795,0,0.0
List-item,5787,15.0994,0,0.0
Page-footer,2148,5.6046,0,0.0
Page-header,3920,10.228,0,0.0
Picture,1450,3.7833,0,0.0
Section-header,5397,14.0818,0,0.0
Table,1969,5.1375,0,0.0
Text,13737,35.8425,0,0.0
Title,876,2.2857,0,0.0
Document Index,524,1.3672,0,0.0
Formula,100,0.2609,0,0.0
